Designator,Mid X,Mid Y,Rotation,Layer
BT1,141.4555,-103.882,270.0,top
C1,147.923,-101.382,270.0,top
C2,147.923,-105.882,90.0,top
C3,154.423,-118.882,180.0,top
D1,164.0,-101.4125,270.0,top
D2,169.173,-107.882,270.0,top
D3,169.173,-103.882,90.0,top
J1,177.1405,-103.382,90.0,top
J2,142.188,-121.382,90.0,top
Q1,172.673,-116.132,0.0,top
R1,164.0,-105.6625,270.0,top
R2,148.673,-115.132,0.0,top
R3,160.173,-115.132,180.0,top
R4,160.173,-112.632,0.0,top
R5,148.673,-112.632,180.0,top
R6,148.673,-117.632,0.0,top
R7,160.173,-117.632,0.0,top
R8,169.173,-99.632,270.0,top
RV1,159.423,-129.0995,0.0,top
SW1,141.673,-114.632,180.0,top
SW2,146.673,-128.382,180.0,top
SW3,171.673,-128.382,0.0,top
U1,156.5,-103.75,0.0,top
U2,154.423,-115.132,90.0,top
